Time_min,Alive,Dead,Group ,Season
10,8,2,A,W
20,7,3,A,W
30,3,7,A,W
40,0,10,A,W
60,0,10,A,W
10,8,2,J,W
20,5,5,J,W
30,1,9,J,W
40,0,10,J,W
60,0,10,J,W
10,10,0,S,W
20,9,1,S,W
30,3,7,S,W
40,0,10,S,W
60,0,10,S,W
10,10,0,A,S
20,8,2,A,S
30,7,3,A,S
40,5,5,A,S
60,1,9,A,S
10,9,1,J,S
20,9,1,J,S
30,4,6,J,S
40,2,8,J,S
60,1,9,J,S
