Temp,Alive,Dead,Season 
20,20,0,S
40,20,0,S
45,16,4,S
50,5,15,S
55,6,14,S
58,5,15,S
60,0,20,S
20,20,0,W
40,20,0,W
45,14,6,W
50,3,17,W
55,7,13,W
58,4,16,W
60,0,10,W
