Temp,Alive,Dead,Group,Season
20,9,0,A,S
30,17,3,A,S
35,18,2,A,S
40,13,7,A,S
41.6,6,14,A,S
43.2,0,20,A,S
45,0,20,A,S
20,10,0,A,W
20,10,0,A,W
30,20,0,A,W
35,20,0,A,W
37,15,5,A,W
40,2,18,A,W
41.6,1,19,A,W
43.2,0,20,A,W
20,7,0,J,S
30,20,0,J,S
35,19,1,J,S
40,5,15,J,S
41.6,1,19,J,S
43.2,0,10,J,S
45,0,20,J,S
45,0,20,J,S
20,10,0,J,W
30,20,0,J,W
35,18,1,J,W
37,10,10,J,W
40,0,20,J,W
41.6,0,20,J,W
43.2,0,20,J,W
45,0,20,J,W
